title,condition,buy_price
Awesome Science Experiments for Kids: 100+ Fun Steam Projects and Why They Work!,Very Good,5.49
The Usborne First Encyclopedia of Science (Science Encyclopedias),Very Good,6.49
The Periodic Table,Very Good,5.19
What If? Serious Scientific Answers to Absurd Hypothetical Questions,Very Good,6.49
Basher Science: Chemistry: Getting a Big Reaction,Very Good,5.39
Cosmos,Good,5.89
Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Very Good,7.49
A Brief History of Time: From the Big Bang to Black Holes,Very Good,4.99
Quantum Physics for Babies: The Perfect Physics Gift and STEM Learning Book for Babies from the #1 Science Author for Kids,Very Good,4.99
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Very Good,5.39
Molecules Of Emotion: The Science Behind Mind-Body Medicine,Good,6.99
Exploring Creation With Physical Science,Very Good,7.49
Women in Science: 50 Fearless Pioneers Who Changed the World,Very Good,5.29
Spook: Science Tackles the Afterlife,Very Good,5.09
Exploring Creation With General Science,Very Good,7.59
This Is Your Brain on Music: The Science of a Human Obsession,Very Good,5.79
The Immortal Life of Henrietta Lacks,Good,4.79
Chemistry: The Central Science,Good,8.59
Rocket Science for Babies,Very Good,5.09
Chaos: Making a New Science,Very Good,5.39
Packing for Mars: The Curious Science of Life in the Void,Like New,4.99
A Short History of Nearly Everything,Good,6.79
Atlas of Human Anatomy,Acceptable,6.49
The Science of Mind,Very Good,7.09
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Good,7.09
The Demon-Haunted World: Science as a Candle in the Dark,New,17.02
Moonwalking with Einstein: The Art and Science of Remembering Everything,Very Good,5.99
Bonk: The Curious Coupling of Science and Sex,Good,6.09
American Prometheus,Very Good,7.49
Foundation,Good,7.39
Grunt: The Curious Science of Humans at War,Very Good,5.09
Why We Sleep: Unlocking the Power of Sleep and Dreams,Like New,10.59
Indescribable: 100 Devotions about God and Science,Very Good,5.49
The Ghost Map,Good,5.29
Archimedes and the Door to Science,New,12.96
The Selfish Gene,Good,4.29
Enlightenment Now: The Case for Reason, Science, Humanism, and Progress,Very Good,6.19
On Food and Cooking: The Science and Lore of the Kitchen,Very Good,13.49
How to Change Your Mind: What the New Science of Psychedelics Teaches Us about Consciousness, Dying, Addiction, Depression, and Transcendence,Very Good,8.19
Sapiens: A Brief History of Humankind,New,20.4
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Good,6.69
Breath: The New Science of a Lost Art,Very Good,11.39
Spark: The Revolutionary New Science of Exercise and the Brain,Very Good,5.79
The Food Lab: Better Home Cooking Through Science,New,36.27
My Five Senses,Acceptable,3.99
Social Intelligence: The New Science of Human Relationships,Very Good,5.49
Archaeologists Dig for Clues (Let's-Read-and-Find-Out Science 2),Like New,4.89
The Story of Snow: The Science of Winter's Wonder,Very Good,5.69
The Longevity Diet: Slow Aging, Fight Disease, Optimize Weight,Very Good,6.09
The Isaiah Effect: Decoding the Lost Science of Prayer and Prophecy,Very Good,8.49
title,condition,buy_price
Nineteen Eighty-Four,Good,24.39
Harry Potter and the Sorcerer's Stone,Good,7.79
To Kill a Mockingbird,Good,17.29
The Hunger Games,Acceptable,4.49
Fahrenheit 451,Acceptable,14.79
Animal Farm: A Fairy Story,Acceptable,6.29
The Alchemist,Like New,22.49
Where the Crawdads Sing,Good,4.89
Harry Potter and the Chamber of Secrets,Good,4.69
It Ends with Us,Good,4.69
The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book,Good,5.79
Harry Potter and the Prisoner of Azkaban,Good,4.59
Catching Fire,Good,7.09
The Hobbit,Acceptable,22.39
The Handmaid's Tale,Very Good,20.19
How to Win Friends and Influence People,Good,6.39
The Great Gatsby,Good,6.49
Verity,Good,5.69
Mockingjay,Acceptable,7.59
Harry Potter and the Goblet of Fire,Acceptable,9.89
The Giver,Good,4.79
Harry Potter and the Deathly Hallows,Acceptable,11.39
Charlotte's Web,Good,4.49
Pride and Prejudice,Very Good,29.09
The Seven Husbands of Evelyn Hugo,Good,6.29
Harry Potter and the Half-Blood Prince,Good,9.39
All the Light We Cannot See,Good,4.99
The Lion, the Witch and the Wardrobe,Good,4.19
Green Eggs and Ham,Good,6.39
Man's Search for Meaning,Very Good,10.39
The Book Thief,Good,4.59
Twilight,Good,9.79
Oh, the Thinks You Can Think!,Good,4.19
Educated,Good,4.39
Lord of the Flies,Very Good,6.69
Anne Frank: The Diary of a Young Girl,Very Good,18.99
The Silent Patient,Good,6.79
The Power of Now: A Guide to Spiritual Enlightenment,Good,6.19
The Nightingale,Very Good,12.89
Before We Were Yours,Good,4.39
Brave New World,Good,6.89
It Starts with Us,Good,4.89
Mere Christianity,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Good,5.69
Wuthering Heights,Acceptable,5.89
One Fish, Two Fish, Red Fish, Blue Fish,Good,4.19
Rich Dad, Poor Dad,Good,7.09
How the Grinch Stole Christmas!,Good,7.99
The Lightning Thief,Good,4.39
Harry Potter and the Order of the Phoenix,Acceptable,5.19
title,condition,buy_price
Nineteen Eighty-Four,Good,24.39
Harry Potter and the Sorcerer's Stone,Good,7.79
To Kill a Mockingbird,Good,17.29
The Hunger Games,Acceptable,4.49
Fahrenheit 451,Acceptable,14.79
Animal Farm: A Fairy Story,Acceptable,6.29
The Alchemist,Like New,22.49
Where the Crawdads Sing,Good,4.89
Harry Potter and the Chamber of Secrets,Good,4.69
It Ends with Us,Good,4.69
The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book,Good,5.79
Harry Potter and the Prisoner of Azkaban,Good,4.59
Catching Fire,Good,7.09
The Hobbit,Acceptable,22.39
The Handmaid's Tale,Very Good,20.19
How to Win Friends and Influence People,Good,6.39
The Great Gatsby,Good,6.49
Verity,Good,5.69
Mockingjay,Acceptable,7.59
Harry Potter and the Goblet of Fire,Acceptable,9.89
The Giver,Good,4.79
Harry Potter and the Deathly Hallows,Acceptable,11.39
Charlotte's Web,Good,4.49
Pride and Prejudice,Very Good,29.09
The Seven Husbands of Evelyn Hugo,Good,6.29
Harry Potter and the Half-Blood Prince,Good,9.39
All the Light We Cannot See,Good,4.99
The Lion, the Witch and the Wardrobe,Good,4.19
Green Eggs and Ham,Good,6.39
Man's Search for Meaning,Very Good,10.39
The Book Thief,Good,4.59
Twilight,Good,9.79
Oh, the Thinks You Can Think!,Good,4.19
Educated,Good,4.39
Lord of the Flies,Very Good,6.69
Anne Frank: The Diary of a Young Girl,Very Good,18.99
The Silent Patient,Good,6.79
The Power of Now: A Guide to Spiritual Enlightenment,Good,6.19
The Nightingale,Very Good,12.89
Before We Were Yours,Good,4.39
Brave New World,Good,6.89
It Starts with Us,Good,4.89
Mere Christianity,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Good,5.69
Wuthering Heights,Acceptable,5.89
One Fish, Two Fish, Red Fish, Blue Fish,Good,4.19
Rich Dad, Poor Dad,Good,7.09
How the Grinch Stole Christmas!,Good,7.99
The Lightning Thief,Good,4.39
Harry Potter and the Order of the Phoenix,Acceptable,5.19
